Month,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
1973 January,1.166191,2.397308,3.187661,6.750044,0.068103,0.272703,0.001491,Not Available,Not Available,0.129787,0.403981,7.226265
1973 February,1.050588,2.170646,2.944328,6.165438,0.064634,0.242199,0.001363,Not Available,Not Available,0.117338,0.3609,6.594709
1973 March,1.046856,2.057315,2.945244,6.047406,0.072494,0.26881,0.001412,Not Available,Not Available,0.129938,0.400161,6.524198
1973 April,0.998979,1.873535,2.623922,5.495792,0.06407,0.253185,0.001649,Not Available,Not Available,0.125636,0.38047,5.944336
1973 May,1.014502,1.765309,2.839178,5.616162,0.062111,0.26077,0.001537,Not Available,Not Available,0.129834,0.392141,6.074551
1973 June,1.050077,1.566214,2.73407,5.350114,0.073968,0.249859,0.001763,Not Available,Not Available,0.125611,0.377232,5.805318
1973 July,1.110438,1.590718,2.807129,5.507145,0.07589,0.23567,0.001869,Not Available,Not Available,0.129787,0.367325,5.954498
1973 August,1.135679,1.615222,3.002149,5.751587,0.084883,0.222077,0.001762,Not Available,Not Available,0.129918,0.353757,6.194365
1973 September,1.057732,1.559067,2.763705,5.379314,0.085724,0.179733,0.001492,Not Available,Not Available,0.125782,0.307006,5.776048
1973 October,1.083177,1.743868,2.939112,5.767893,0.081971,0.191723,0.00176,Not Available,Not Available,0.12997,0.323453,6.177455
1973 November,1.08859,1.945005,3.056472,6.091283,0.088773,0.210285,0.001889,Not Available,Not Available,0.125643,0.337817,6.521876
1973 December,1.16868,2.227822,2.994463,6.391312,0.087557,0.274435,0.002435,Not Available,Not Available,0.129824,0.406694,6.889701
