Month,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector
1973 January,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973 February,Not Available,Not Available,27.164,27.164,Not Available,Not Available,Not Available,Not Available,0.515,Not Available,Not Available,0.515,0.515
1973 March,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973 April,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551
1973 May,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973 June,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551
1973 July,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973 August,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973 September,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551
1973 October,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973 November,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551
1973 December,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1974 January,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974 February,Not Available,Not Available,28.457,28.457,Not Available,Not Available,Not Available,Not Available,0.538,Not Available,Not Available,0.538,0.538
1974 March,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974 April,Not Available,Not Available,30.489,30.489,Not Available,Not Available,Not Available,Not Available,0.577,Not Available,Not Available,0.577,0.577
1974 May,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974 June,Not Available,Not Available,30.489,30.489,Not Available,Not Available,Not Available,Not Available,0.577,Not Available,Not Available,0.577,0.577
1974 July,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974 August,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974 September,Not Available,Not Available,30.489,30.489,Not Available,Not Available,Not Available,Not Available,0.577,Not Available,Not Available,0.577,0.577
1974 October,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974 November,Not Available,Not Available,30.489,30.489,Not Available,Not Available,Not Available,Not Available,0.577,Not Available,Not Available,0.577,0.577
1974 December,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1975 January,Not Available,Not Available,36.131,36.131,Not Available,Not Available,Not Available,Not Available,0.685,Not Available,Not Available,0.685,0.685
