Month,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Biomass Energy Consumed by the Transportation Sector
1973 January,3.167,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,102.1,Not Available,Not Available,Not Available
1973 February,2.928,Not Available,Not Available,Not Available,89.359,Not Available,Not Available,Not Available,89.359,92.287,Not Available,Not Available,Not Available
1973 March,3.24,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,102.172,Not Available,Not Available,Not Available
1973 April,3.095,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,98.836,Not Available,Not Available,Not Available
1973 May,3.193,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,102.126,Not Available,Not Available,Not Available
1973 June,3.098,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,98.84,Not Available,Not Available,Not Available
1973 July,2.76,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,101.693,Not Available,Not Available,Not Available
1973 August,2.665,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,101.598,Not Available,Not Available,Not Available
1973 September,2.326,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,98.067,Not Available,Not Available,Not Available
1973 October,2.534,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,101.467,Not Available,Not Available,Not Available
1973 November,2.669,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,98.41,Not Available,Not Available,Not Available
1973 December,3.099,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,102.032,Not Available,Not Available,Not Available
1974 January,3.138,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,101.58,Not Available,Not Available,Not Available
1974 February,2.866,Not Available,Not Available,Not Available,88.915,Not Available,Not Available,Not Available,88.915,91.781,Not Available,Not Available,Not Available
1974 March,3.072,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,101.514,Not Available,Not Available,Not Available
1974 April,3.036,Not Available,Not Available,Not Available,95.266,Not Available,Not Available,Not Available,95.266,98.302,Not Available,Not Available,Not Available
1974 May,3.131,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,101.573,Not Available,Not Available,Not Available
1974 June,2.917,Not Available,Not Available,Not Available,95.266,Not Available,Not Available,Not Available,95.266,98.183,Not Available,Not Available,Not Available
1974 July,2.667,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,101.109,Not Available,Not Available,Not Available
1974 August,2.508,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,100.95,Not Available,Not Available,Not Available
1974 September,2.389,Not Available,Not Available,Not Available,95.266,Not Available,Not Available,Not Available,95.266,97.656,Not Available,Not Available,Not Available
1974 October,2.27,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,100.712,Not Available,Not Available,Not Available
1974 November,2.365,Not Available,Not Available,Not Available,95.266,Not Available,Not Available,Not Available,95.266,97.631,Not Available,Not Available,Not Available
1974 December,2.843,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,101.285,Not Available,Not Available,Not Available
1975 January,3.102,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,93.407,Not Available,Not Available,Not Available
1975 February,2.761,Not Available,Not Available,Not Available,81.566,Not Available,Not Available,Not Available,81.566,84.327,Not Available,Not Available,Not Available
1975 March,2.905,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,93.21,Not Available,Not Available,Not Available
1975 April,2.894,Not Available,Not Available,Not Available,87.392,Not Available,Not Available,Not Available,87.392,90.286,Not Available,Not Available,Not Available
1975 May,3.119,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,93.424,Not Available,Not Available,Not Available
1975 June,2.862,Not Available,Not Available,Not Available,87.392,Not Available,Not Available,Not Available,87.392,90.254,Not Available,Not Available,Not Available
1975 July,2.504,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,92.809,Not Available,Not Available,Not Available
1975 August,2.255,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,92.56,Not Available,Not Available,Not Available
1975 September,2.269,Not Available,Not Available,Not Available,87.392,Not Available,Not Available,Not Available,87.392,89.661,Not Available,Not Available,Not Available
1975 October,2.487,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,92.793,Not Available,Not Available,Not Available
1975 November,2.496,Not Available,Not Available,Not Available,87.392,Not Available,Not Available,Not Available,87.392,89.888,Not Available,Not Available,Not Available
1975 December,2.668,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,92.973,Not Available,Not Available,Not Available
1976 January,2.9,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,106.223,Not Available,Not Available,Not Available
1976 February,2.926,Not Available,Not Available,Not Available,96.657,Not Available,Not Available,Not Available,96.657,99.583,Not Available,Not Available,Not Available
1976 March,3.032,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,106.355,Not Available,Not Available,Not Available
1976 April,3.112,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,103.102,Not Available,Not Available,Not Available
1976 May,3.053,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,106.376,Not Available,Not Available,Not Available
1976 June,2.924,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,102.914,Not Available,Not Available,Not Available
1976 July,2.666,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,105.989,Not Available,Not Available,Not Available
1976 August,2.44,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,105.763,Not Available,Not Available,Not Available
1976 September,2.098,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,102.088,Not Available,Not Available,Not Available
1976 October,2.732,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,106.055,Not Available,Not Available,Not Available
1976 November,2.713,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,102.703,Not Available,Not Available,Not Available
1976 December,2.774,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,106.097,Not Available,Not Available,Not Available
1977 January,3.061,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,111.879,Not Available,Not Available,Not Available
1977 February,2.24,Not Available,Not Available,Not Available,98.287,Not Available,Not Available,Not Available,98.287,100.527,Not Available,Not Available,Not Available
1977 March,2.928,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,111.746,Not Available,Not Available,Not Available
1977 April,2.757,Not Available,Not Available,Not Available,105.308,Not Available,Not Available,Not Available,105.308,108.064,Not Available,Not Available,Not Available
1977 May,2.762,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,111.58,Not Available,Not Available,Not Available
