Month,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
1973 January,269.536,1.491,Not Available,Not Available,0.054,0.157,0.211,271.238
1973 February,239.271,1.363,Not Available,Not Available,0.157,0.144,0.301,240.935
1973 March,265.57,1.412,Not Available,Not Available,0.186,0.176,0.362,267.345
1973 April,250.09,1.649,Not Available,Not Available,0.066,0.174,0.24,251.979
1973 May,257.577,1.537,Not Available,Not Available,0.048,0.21,0.258,259.372
1973 June,246.76,1.763,Not Available,Not Available,0.039,0.176,0.214,248.737
1973 July,232.91,1.869,Not Available,Not Available,0.04,0.17,0.21,234.989
1973 August,219.412,1.762,Not Available,Not Available,0.157,0.184,0.341,221.516
1973 September,177.407,1.492,Not Available,Not Available,0.207,0.178,0.385,179.284
1973 October,189.189,1.76,Not Available,Not Available,0.193,0.2,0.393,191.343
1973 November,207.617,1.889,Not Available,Not Available,0.095,0.151,0.246,209.752
1973 December,271.335,2.435,Not Available,Not Available,0.113,0.135,0.248,274.019
1974 January,301.368,2.154,Not Available,Not Available,0.111,0.152,0.263,303.785
1974 February,277.084,1.901,Not Available,Not Available,0.039,0.142,0.181,279.165
1974 March,287.51,2.165,Not Available,Not Available,0.036,0.148,0.184,289.858
1974 April,290.666,2.039,Not Available,Not Available,0.108,0.142,0.25,292.955
1974 May,291.698,2.04,Not Available,Not Available,0.116,0.129,0.245,293.983
1974 June,277.778,1.975,Not Available,Not Available,0.1,0.179,0.279,280.032
1974 July,274.105,2.191,Not Available,Not Available,0.005,0.208,0.213,276.508
1974 August,250.667,2.163,Not Available,Not Available,0.031,0.189,0.22,253.05
1974 September,222.885,1.999,Not Available,Not Available,0.121,0.183,0.305,225.189
1974 October,208.685,2.03,Not Available,Not Available,0.018,0.156,0.174,210.889
1974 November,220.347,2.414,Not Available,Not Available,0.019,0.155,0.174,222.935
1974 December,240.585,2.54,Not Available,Not Available,0.011,0.119,0.13,243.256
1975 January,260.269,2.117,Not Available,Not Available,0.008,0.14,0.148,262.534
1975 February,248.556,2.019,Not Available,Not Available,0.011,0.113,0.124,250.698
1975 March,291.057,2.277,Not Available,Not Available,0.006,0.124,0.13,293.464
1975 April,277.053,2.281,Not Available,Not Available,0.002,0.117,0.119,279.453
1975 May,288.385,2.475,Not Available,Not Available,0.009,0.173,0.182,291.043
1975 June,282.448,3.07,Not Available,Not Available,0.028,0.193,0.221,285.739
1975 July,265.577,3.091,Not Available,Not Available,0.004,0.163,0.167,268.835
1975 August,235.302,3.351,Not Available,Not Available,0.016,0.185,0.2,238.854
1975 September,213.525,2.954,Not Available,Not Available,0.032,0.158,0.19,216.669
1975 October,235.581,3.406,Not Available,Not Available,0.03,0.161,0.192,239.178
1975 November,254.21,3.31,Not Available,Not Available,0.019,0.141,0.16,257.68
1975 December,270.322,3.429,Not Available,Not Available,0.018,0.138,0.156,273.907
1976 January,270.423,3.403,Not Available,Not Available,0.022,0.14,0.162,273.988
1976 February,254.351,3.2,Not Available,Not Available,0.019,0.136,0.155,257.706
1976 March,275.535,3.426,Not Available,Not Available,0.026,0.137,0.163,279.124
1976 April,250.37,3.086,Not Available,Not Available,0.023,0.126,0.149,253.605
1976 May,264.678,2.949,Not Available,Not Available,0.025,0.134,0.159,267.787
1976 June,265.163,3.063,Not Available,Not Available,0.03,0.161,0.191,268.417
1976 July,270.36,3.311,Not Available,Not Available,0.01,0.19,0.2,273.871
1976 August,247.319,3.26,Not Available,Not Available,0.031,0.192,0.223,250.802
1976 September,211.278,3.173,Not Available,Not Available,0.057,0.165,0.222,214.672
1976 October,218.257,3.082,Not Available,Not Available,0.052,0.174,0.226,221.566
1976 November,205.425,2.597,Not Available,Not Available,0.267,0.171,0.437,208.459
1976 December,209.733,2.963,Not Available,Not Available,0.313,0.163,0.476,213.173
1977 January,216.008,3.232,Not Available,Not Available,0.368,0.146,0.514,219.754
1977 February,158.089,2.823,Not Available,Not Available,0.408,0.13,0.538,161.45
1977 March,206.621,3.2,Not Available,Not Available,0.365,0.146,0.511,210.332
1977 April,194.53,2.854,Not Available,Not Available,0.329,0.148,0.478,197.861
1977 May,194.894,3.081,Not Available,Not Available,0.325,0.155,0.48,198.455
1977 June,179.756,3.029,Not Available,Not Available,0.314,0.156,0.469,183.254
1977 July,175.295,3.204,Not Available,Not Available,0.036,0.178,0.214,178.713
1977 August,174.392,2.937,Not Available,Not Available,0.203,0.172,0.375,177.703
1977 September,171.392,3.144,Not Available,Not Available,0.255,0.172,0.427,174.963
1977 October,179.367,3.288,Not Available,Not Available,0.292,0.174,0.466,183.12
1977 November,212.848,3.303,Not Available,Not Available,0.205,0.112,0.317,216.468
1977 December,237.461,3.288,Not Available,Not Available,0.11,0.119,0.229,240.977
1978 January,259.708,3.326,Not Available,Not Available,0.245,0.123,0.368,263.402
1978 February,230.125,2.854,Not Available,Not Available,0.236,0.11,0.346,233.325
1978 March,255.192,2.359,Not Available,Not Available,0.266,0.11,0.376,257.927
1978 April,262.192,1.989,Not Available,Not Available,0.057,0.105,0.162,264.343
1978 May,297.951,1.772,Not Available,Not Available,0.047,0.117,0.163,299.886
1978 June,260.281,2.179,Not Available,Not Available,0.052,0.101,0.153,262.614
1978 July,253.355,2.441,Not Available,Not Available,0.065,0.087,0.153,255.949
1978 August,229.86,2.871,Not Available,Not Available,0.249,0.18,0.429,233.16
1978 September,219.417,3.031,Not Available,Not Available,0.134,0.134,0.268,222.716
1978 October,201.82,2.254,Not Available,Not Available,0.267,0.142,0.409,204.483
1978 November,206.728,2.547,Not Available,Not Available,0.251,0.12,0.371,209.645
1978 December,228.79,3.228,Not Available,Not Available,0.175,0.126,0.301,232.319
1979 January,259.047,3.099,Not Available,Not Available,0.126,0.147,0.273,262.42
1979 February,220.263,2.535,Not Available,Not Available,0.245,0.169,0.414,223.212
1979 March,268.358,3.402,Not Available,Not Available,0.313,0.241,0.554,272.314
1979 April,262.847,3.146,Not Available,Not Available,0.261,0.138,0.399,266.392
1979 May,299.607,3.164,Not Available,Not Available,0.234,0.221,0.455,303.227
1979 June,258.603,3.204,Not Available,Not Available,0.217,0.17,0.387,262.194
1979 July,235.641,3.398,Not Available,Not Available,0.209,0.165,0.373,239.413
1979 August,220.104,3.707,Not Available,Not Available,0.311,0.17,0.481,224.293
1979 September,196.482,3.217,Not Available,Not Available,0.321,0.125,0.446,200.145
1979 October,208.786,3.607,Not Available,Not Available,0.303,0.121,0.425,212.818
1979 November,231.561,3.505,Not Available,Not Available,0.322,0.182,0.504,235.569
1979 December,235.293,4.275,Not Available,Not Available,0.241,0.202,0.444,240.012
1980 January,262.589,3.495,Not Available,Not Available,0.321,0.216,0.537,266.621
1980 February,222.071,3.357,Not Available,Not Available,0.327,0.193,0.521,225.948
1980 March,252.762,3.731,Not Available,Not Available,0.305,0.129,0.435,256.928
1980 April,267.469,3.909,Not Available,Not Available,0.227,0.127,0.353,271.732
1980 May,299.848,4.603,Not Available,Not Available,0.102,0.154,0.256,304.707
1980 June,287.292,4.441,Not Available,Not Available,0.068,0.114,0.183,291.915
1980 July,254.182,4.67,Not Available,Not Available,0.156,0.106,0.262,259.115
1980 August,212.24,4.991,Not Available,Not Available,0.252,0.131,0.382,217.614
1980 September,192.086,4.506,Not Available,Not Available,0.249,0.115,0.364,196.957
1980 October,185.59,5.117,Not Available,Not Available,0.31,0.115,0.424,191.132
1980 November,199.627,5.002,Not Available,Not Available,0.29,0.114,0.404,205.034
1980 December,231.548,4.877,Not Available,Not Available,0.254,0.125,0.379,236.803
1981 January,233.504,5.284,Not Available,Not Available,0.254,0.11,0.365,239.153
1981 February,220.547,4.671,Not Available,Not Available,0.284,0.092,0.376,225.595
1981 March,215.044,5.237,Not Available,Not Available,0.308,0.107,0.415,220.696
1981 April,216.614,4.836,Not Available,Not Available,0.291,0.099,0.39,221.84
1981 May,251.721,4.791,Not Available,Not Available,0.149,0.104,0.253,256.765
1981 June,275.643,4.782,Not Available,Not Available,0.072,0.089,0.16,280.585
1981 July,262.714,5.256,Not Available,Not Available,0.104,0.108,0.212,268.182
1981 August,225.941,5.191,Not Available,Not Available,0.112,0.136,0.248,231.381
1981 September,186.288,5.224,Not Available,Not Available,0.244,0.159,0.403,191.915
1981 October,189.078,5.153,Not Available,Not Available,0.27,0.132,0.402,194.633
1981 November,198.225,4.498,Not Available,Not Available,0.262,0.098,0.36,203.083
1981 December,249.605,4.513,Not Available,Not Available,0.214,0.047,0.261,254.379
1982 January,281.166,3.975,Not Available,Not Available,0.197,0.128,0.325,285.465
1982 February,279.017,3.656,Not Available,Not Available,0.204,0.109,0.313,282.985
1982 March,312.415,3.22,Not Available,Not Available,0.124,0.107,0.231,315.865
1982 April,291.958,3.247,Not Available,Not Available,0.103,0.08,0.183,295.388
1982 May,292.408,3.773,Not Available,Not Available,0.093,0.117,0.209,296.39
1982 June,292.219,4.556,Not Available,Not Available,0.118,0.111,0.228,297.003
1982 July,285.33,4.792,Not Available,Not Available,0.137,0.139,0.276,290.398
1982 August,249.792,4.776,Not Available,Not Available,0.15,0.091,0.242,254.809
1982 September,207.991,4.581,Not Available,Not Available,0.227,0.082,0.309,212.881
1982 October,206.47,4.877,Not Available,Not Available,0.324,0.123,0.447,211.794
1982 November,243.545,5.122,Not Available,Not Available,0.21,0.099,0.309,248.976
1982 December,290.202,4.053,Not Available,Not Available,0.161,0.122,0.283,294.538
1983 January,307.547,5.087,Not Available,0.002,0.14,0.097,0.237,312.873
1983 February,294.033,3.913,Not Available,0,0.128,0.111,0.239,298.185
1983 March,318.779,4.51,Not Available,0.003,0.152,0.12,0.272,323.564
1983 April,315.481,4.227,Not Available,0.002,0.122,0.112,0.234,319.944
1983 May,328.156,3.434,Not Available,0.003,0.111,0.198,0.309,331.902
1983 June,322.883,4.518,Not Available,0.002,0.144,0.2,0.344,327.747
1983 July,295.753,5.627,Not Available,0.001,0.147,0.165,0.313,301.694
1983 August,271.706,7.404,Not Available,0,0.191,0.165,0.357,279.467
1983 September,228.407,6.764,Not Available,0.004,0.203,0.161,0.364,235.539
1983 October,218.256,7.091,Not Available,0.005,0.245,0.149,0.394,225.746
1983 November,259.609,6.311,Not Available,0.004,0.28,0.108,0.389,266.313
1983 December,333.394,5.025,Not Available,0.001,0.408,0.125,0.533,338.953
1984 January,310.459,5.094,-0.001,0,0.471,0.143,0.614,316.168
1984 February,291.272,6.222,0.001,0.002,0.244,0.241,0.485,297.983
1984 March,317.741,6.838,0.002,0.002,0.299,0.361,0.66,325.243
1984 April,312.886,6.748,0.003,0.006,0.15,0.351,0.501,320.144
1984 May,332.133,6.473,0.007,0.008,0.163,0.377,0.54,339.161
1984 June,300.39,6.283,0.01,0.006,0.159,0.367,0.526,307.216
1984 July,287.043,5.997,0.003,0.005,0.379,0.384,0.763,293.811
1984 August,262.43,7.509,0.009,0.003,0.402,0.368,0.769,270.72
1984 September,218.311,6.763,0.01,0.005,0.456,0.364,0.819,225.909
1984 October,218.055,7.424,0.007,0.009,0.561,0.544,1.105,226.601
1984 November,232.386,7.331,0.004,0.009,0.8,0.491,1.291,241.021
1984 December,269.703,8.127,0,0.013,0.732,0.442,1.174,279.015
1985 January,287.746,8.086,0.005,0.007,0.863,0.506,1.369,297.212
1985 February,270.6,7.141,-0.001,0.011,0.782,0.456,1.238,278.99
1985 March,257.413,8.314,0.001,0.007,0.842,0.547,1.39,267.126
1985 April,254.938,7.281,0.013,0.006,0.271,0.606,0.877,263.114
1985 May,276.022,7.571,0.015,0.004,0.327,0.608,0.934,284.546
1985 June,249.042,7.294,0.016,0.004,0.279,0.642,0.921,257.277
1985 July,222.446,8.019,0.011,0.001,0.559,0.653,1.212,231.69
1985 August,208.74,8.381,0.021,0.004,0.745,0.61,1.354,218.5
1985 September,196.061,7.966,0.014,0.009,0.814,0.46,1.274,205.325
1985 October,209.438,7.626,0.01,0.005,0.755,0.474,1.229,218.308
1985 November,239.801,9.416,0.003,0.002,0.77,0.578,1.348,250.57
1985 December,264.921,10.325,0.002,0.001,0.758,0.541,1.299,276.549
1986 January,223.306,10.526,0.007,0.002,0.67,0.524,1.194,235.035
1986 February,242.578,9.04,0.006,0.002,0.382,0.555,0.938,252.563
1986 March,297.35,9.403,0.011,0.007,0.209,0.645,0.854,307.624
1986 April,287.509,8.479,0.014,0.006,0.208,0.597,0.805,296.813
1986 May,284.179,8.568,0.019,0.008,0.254,0.585,0.839,293.613
1986 June,273.929,9.295,0.015,0.005,0.279,0.574,0.853,284.098
1986 July,251.456,9.862,0.017,0.005,0.428,0.6,1.028,262.369
1986 August,221.344,9.839,0.017,0.005,0.59,0.603,1.193,232.398
1986 September,220.552,8.245,0.015,0.001,0.535,0.555,1.09,229.903
1986 October,222.866,8.105,0.013,0.002,0.404,0.587,0.991,231.979
1986 November,241.861,7.015,0.009,0,0.483,0.656,1.138,250.023
1986 December,271.228,9.299,0.003,0,0.693,0.676,1.369,281.899
1987 January,264.771,9.317,0.001,0.001,0.669,0.606,1.275,275.365
