Month,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
1973 January,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57,3.167,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,102.1,Not Available,Not Available,Not Available,269.536,1.491,Not Available,Not Available,0.054,0.157,0.211,271.238
1973 February,Not Available,Not Available,27.164,27.164,Not Available,Not Available,Not Available,Not Available,0.515,Not Available,Not Available,0.515,0.515,2.928,Not Available,Not Available,Not Available,89.359,Not Available,Not Available,Not Available,89.359,92.287,Not Available,Not Available,Not Available,239.271,1.363,Not Available,Not Available,0.157,0.144,0.301,240.935
1973 March,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57,3.24,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,102.172,Not Available,Not Available,Not Available,265.57,1.412,Not Available,Not Available,0.186,0.176,0.362,267.345
1973 April,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551,3.095,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,98.836,Not Available,Not Available,Not Available,250.09,1.649,Not Available,Not Available,0.066,0.174,0.24,251.979
1973 May,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57,3.193,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,102.126,Not Available,Not Available,Not Available,257.577,1.537,Not Available,Not Available,0.048,0.21,0.258,259.372
1973 June,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551,3.098,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,98.84,Not Available,Not Available,Not Available,246.76,1.763,Not Available,Not Available,0.039,0.176,0.214,248.737
1973 July,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57,2.76,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,101.693,Not Available,Not Available,Not Available,232.91,1.869,Not Available,Not Available,0.04,0.17,0.21,234.989
1973 August,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57,2.665,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,101.598,Not Available,Not Available,Not Available,219.412,1.762,Not Available,Not Available,0.157,0.184,0.341,221.516
1973 September,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551,2.326,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,98.067,Not Available,Not Available,Not Available,177.407,1.492,Not Available,Not Available,0.207,0.178,0.385,179.284
1973 October,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57,2.534,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,101.467,Not Available,Not Available,Not Available,189.189,1.76,Not Available,Not Available,0.193,0.2,0.393,191.343
1973 November,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551,2.669,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,98.41,Not Available,Not Available,Not Available,207.617,1.889,Not Available,Not Available,0.095,0.151,0.246,209.752
1973 December,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57,3.099,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,102.032,Not Available,Not Available,Not Available,271.335,2.435,Not Available,Not Available,0.113,0.135,0.248,274.019
1974 January,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596,3.138,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,101.58,Not Available,Not Available,Not Available,301.368,2.154,Not Available,Not Available,0.111,0.152,0.263,303.785
1974 February,Not Available,Not Available,28.457,28.457,Not Available,Not Available,Not Available,Not Available,0.538,Not Available,Not Available,0.538,0.538,2.866,Not Available,Not Available,Not Available,88.915,Not Available,Not Available,Not Available,88.915,91.781,Not Available,Not Available,Not Available,277.084,1.901,Not Available,Not Available,0.039,0.142,0.181,279.165
1974 March,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596,3.072,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,101.514,Not Available,Not Available,Not Available,287.51,2.165,Not Available,Not Available,0.036,0.148,0.184,289.858
1974 April,Not Available,Not Available,30.489,30.489,Not Available,Not Available,Not Available,Not Available,0.577,Not Available,Not Available,0.577,0.577,3.036,Not Available,Not Available,Not Available,95.266,Not Available,Not Available,Not Available,95.266,98.302,Not Available,Not Available,Not Available,290.666,2.039,Not Available,Not Available,0.108,0.142,0.25,292.955
